FundCode,FundName,Date,Excess,OutPerformance,Return,Rank
MF-1-9046,Vanguard Wholesale Emerging Markets Shares Index,2016-10-31,5.37,OutPerformed,0.7397366762161255,1
EF-2-21255,Vanguard All-World Ex-US Shares Index ETF,2016-10-31,3.57,OutPerformed,-1.065226435661316,2
MF-1-31705,Pengana Global Small Companies Fund,2016-10-31,3.45,OutPerformed,-1.1808366775512695,3
MF-1-10685,Vanguard Wholesale Australian Fixed Interest Index,2016-10-31,-0.02,UnderPerformed,-1.3177530765533447,4
EF-2-21254,Vanguard Australian Shares Index ETF,2016-10-31,2.39,OutPerformed,-2.2386362552642822,5
MF-1-4220,Goldman Sachs Emerging Leaders Fund,2016-10-31,-4.22,UnderPerformed,-8.85390853881836,6
MF-1-9046,Vanguard Wholesale Emerging Markets Shares Index,2016-08-31,4.27,OutPerformed,3.5376691818237305,1
MF-1-31705,Pengana Global Small Companies Fund,2016-08-31,3.94,OutPerformed,3.202958106994629,2
EF-2-21255,Vanguard All-World Ex-US Shares Index ETF,2016-08-31,2.64,OutPerformed,1.9097143411636353,3
MF-1-10685,Vanguard Wholesale Australian Fixed Interest Index,2016-08-31,0.0,UnderPerformed,0.42046764492988586,4
EF-2-21254,Vanguard Australian Shares Index ETF,2016-08-31,-0.86,UnderPerformed,-1.592658519744873,5
MF-1-4220,Goldman Sachs Emerging Leaders Fund,2016-08-31,-1.58,UnderPerformed,-2.3103864192962646,6
MF-1-4220,Goldman Sachs Emerging Leaders Fund,2016-07-31,0.3,UnderPerformed,8.067665100097656,1
EF-2-21254,Vanguard Australian Shares Index ETF,2016-07-31,-1.78,UnderPerformed,5.9839911460876465,2
MF-1-9046,Vanguard Wholesale Emerging Markets Shares Index,2016-07-31,-5.01,UnderPerformed,2.754190444946289,3
MF-1-31705,Pengana Global Small Companies Fund,2016-07-31,-5.05,UnderPerformed,2.717397689819336,4
EF-2-21255,Vanguard All-World Ex-US Shares Index ETF,2016-07-31,-5.61,UnderPerformed,2.1572115421295166,5
MF-1-10685,Vanguard Wholesale Australian Fixed Interest Index,2016-07-31,-0.02,UnderPerformed,0.7076355814933777,6
MF-1-31705,Pengana Global Small Companies Fund,2016-11-30,4.0,OutPerformed,3.8743228912353516,1
EF-2-21254,Vanguard Australian Shares Index ETF,2016-11-30,2.87,OutPerformed,2.7433502674102783,2
EF-2-21255,Vanguard All-World Ex-US Shares Index ETF,2016-11-30,0.87,OutPerformed,0.7450060248374939,3
MF-1-10685,Vanguard Wholesale Australian Fixed Interest Index,2016-11-30,-0.01,UnderPerformed,-1.4709817171096802,4
MF-1-9046,Vanguard Wholesale Emerging Markets Shares Index,2016-11-30,-1.74,UnderPerformed,-1.8630121946334839,5
MF-1-4220,Goldman Sachs Emerging Leaders Fund,2016-11-30,-3.88,UnderPerformed,-4.011699199676514,6
MF-1-31705,Pengana Global Small Companies Fund,2016-09-30,0.52,OutPerformed,0.6268958449363708,1
EF-2-21254,Vanguard Australian Shares Index ETF,2016-09-30,0.39,UnderPerformed,0.5024208426475525,2
MF-1-4220,Goldman Sachs Emerging Leaders Fund,2016-09-30,-0.25,UnderPerformed,-0.13476823270320892,3
MF-1-10685,Vanguard Wholesale Australian Fixed Interest Index,2016-09-30,-0.01,UnderPerformed,-0.23221935331821442,4
EF-2-21255,Vanguard All-World Ex-US Shares Index ETF,2016-09-30,-0.57,OutPerformed,-0.4578601121902466,5
MF-1-9046,Vanguard Wholesale Emerging Markets Shares Index,2016-09-30,-0.65,OutPerformed,-0.542877197265625,6
MF-1-10685,Vanguard Wholesale Australian Fixed Interest Index,2016-06-30,-0.02,UnderPerformed,1.2863160371780396,1
MF-1-9046,Vanguard Wholesale Emerging Markets Shares Index,2016-06-30,3.03,OutPerformed,1.217254400253296,2
EF-2-21254,Vanguard Australian Shares Index ETF,2016-06-30,-0.73,OutPerformed,-2.5441243648529053,3
EF-2-21255,Vanguard All-World Ex-US Shares Index ETF,2016-06-30,-1.77,UnderPerformed,-3.575406789779663,4
MF-1-4220,Goldman Sachs Emerging Leaders Fund,2016-06-30,-2.42,UnderPerformed,-4.229084491729736,5
MF-1-31705,Pengana Global Small Companies Fund,2016-06-30,-2.97,UnderPerformed,-4.782505989074707,6
